NOMBRE,ALCALDIA,SISTEMA,AÑO,lng,lat
Pantitlán,Venustiano Carranza,STC Metro,1984,-99.07473572701159,19.416334085596525
Zaragoza,Venustiano Carranza,STC Metro,1969,-99.0822888117768,19.41192045593743
Gomez Farías,Venustiano Carranza,STC Metro,1969,-99.09021039171121,19.416478456907367
Boulevard Puerto Aéreo,Venustiano Carranza,STC Metro,1969,-99.09625873241016,19.419941964850207
Balbuena,Venustiano Carranza,STC Metro,1969,-99.10277436397425,19.42335533557525
Moctezuma,Venustiano Carranza,STC Metro,1969,-99.10979926910476,19.42685434666967
San Lázaro,Venustiano Carranza,STC Metro,1969,-99.11426095239393,19.43005884961391
Candelaria,Venustiano Carranza,STC Metro,1969,-99.12090955005588,19.42954014071058
Merced,Venustiano Carranza,STC Metro,1969,-99.12502541851761,19.42548757157406
Pino Suárez,Cuauhtémoc,STC Metro,1969,-99.13263861199377,19.425923495107927
Isabel La Católica,Cuauhtémoc,STC Metro,1969,-99.13783045646255,19.42639351179822
Salto del Agua,Cuauhtémoc,STC Metro,1969,-99.14340629386963,19.426948189741864
Balderas,Cuauhtémoc,STC Metro,1969,-99.14948115142849,19.426997876088905
Cuauhtémoc,Cuauhtémoc,STC Metro,1969,-99.15459795134981,19.4256611110838
Insurgentes,Cuauhtémoc,STC Metro,1969,-99.16328887947714,19.423651800607303
Sevilla,Cuauhtémoc,STC Metro,1969,-99.17111907391485,19.421849915921573
Chapultepec,Cuauhtémoc,STC Metro,1969,-99.17641673157046,19.42074629504737
Juanacatlán,Miguel Hidalgo,STC Metro,1970,-99.18198382947882,19.4129516424911
Tacubaya,Miguel Hidalgo,STC Metro,1970,-99.18763652631694,19.40251380233993
Observatorio,Álvaro Obregón,STC Metro,1972,-99.20040474604608,19.398282375699324
Cuatro Caminos,EDOMX,STC Metro,1984,-99.21584248969683,19.459593208492073
Panteones,Miguel Hidalgo,STC Metro,1984,-99.20294912952721,19.458638560770133
Tacuba,Miguel Hidalgo,STC Metro,1970,-99.18823093441412,19.459376010718714
Cuitláhuac,Miguel Hidalgo,STC Metro,1970,-99.18149576791224,19.457253889739235
Popotla,Miguel Hidalgo,STC Metro,1970,-99.17549381434115,19.452909219801555
Colegio Militar,Miguel Hidalgo,STC Metro,1970,-99.17177923331683,19.449273554997184
Normal,Miguel Hidalgo,STC Metro,1970,-99.16727403741045,19.44455770552456
San Cosme,Cuauhtémoc,STC Metro,1970,-99.16066207280677,19.441904254426483
Revolución,Cuauhtémoc,STC Metro,1970,-99.15422782571336,19.439227179139703
Hidalgo,Cuauhtémoc,STC Metro,1970,-99.14722340551585,19.43754674790357
Bellas Artes,Cuauhtémoc,STC Metro,1970,-99.14161363737124,19.436377755896043
Allende,Cuauhtémoc,STC Metro,1970,-99.13686784023699,19.43555800327121
Zócalo/Tenochtitlan,Cuauhtémoc,STC Metro,1970,-99.13225107327767,19.432501910975944
Pino Suárez,Cuauhtémoc,STC Metro,1970,-99.13294182670589,19.42438471172242
San Antonio Abad,Cuauhtémoc,STC Metro,1970,-99.13453987415669,19.41602164706914
Chabacano,Cuauhtémoc,STC Metro,1970,-99.1356181172527,19.40917986927759
Viaducto,Iztacalco,STC Metro,1970,-99.13689959248839,19.400868658018997
Xola,Benito Juárez,STC Metro,1970,-99.13780817932107,19.395210509950374
Villa de Cortés,Benito Juárez,STC Metro,1970,-99.13895916622117,19.38758177582601
Nativitas,Benito Juárez,STC Metro,1970,-99.14018788970765,19.37953276091363
Portales,Benito Juárez,STC Metro,1970,-99.14157355491439,19.36992483866799
Ermita,Benito Juárez,STC Metro,1970,-99.14290376152475,19.361979299764318
General Anaya,Coyoacán,STC Metro,1970,-99.14500636295455,19.353235914861184
Tasqueña,Coyoacán,STC Metro,1970,-99.13953277638426,19.343757098277724
Indios Verdes,Gustavo A. Madero,STC Metro,1979,-99.11950993825916,19.495337618645664
Deportivo 18 de Marzo,Gustavo A. Madero,STC Metro,1979,-99.12549791712465,19.485114151342465
Potrero,Gustavo A. Madero,STC Metro,1979,-99.13201368299404,19.47719201148074
La Raza,Gustavo A. Madero,STC Metro,1978,-99.13950623022468,19.468880133789003
Tlatelolco,Cuauhtémoc,STC Metro,1970,-99.1431330841341,19.45505814280372
Guerrero,Cuauhtémoc,STC Metro,1970,-99.14519334406981,19.44472633482843
Hidalgo,Cuauhtémoc,STC Metro,1970,-99.14678272133695,19.43738239226258
Juárez,Cuauhtémoc,STC Metro,1970,-99.14768330576317,19.43325034645042
Balderas,Cuauhtémoc,STC Metro,1970,-99.14906048003867,19.42648009336695
Niños Héroes/Poder Judicial CDMX,Cuauhtémoc,STC Metro,1970,-99.15036426521944,19.419484310191944
Hospital General,Cuauhtémoc,STC Metro,1970,-99.15324536177903,19.413758753579426
Centro Médico,Cuauhtémoc,STC Metro,1980,-99.15513468952369,19.40745314744384
Etiopía/Plaza de la Transparencia,Benito Juárez,STC Metro,1980,-99.15603141534933,19.395920531617364
Eugenia,Benito Juárez,STC Metro,1980,-99.15720459756614,19.386168518115365
División del Norte,Benito Juárez,STC Metro,1980,-99.1594791658047,19.379184435402276
Zapata,Benito Juárez,STC Metro,1980,-99.16451029765572,19.371191786554387
Coyoacán,Benito Juárez,STC Metro,1983,-99.17086152734286,19.361359077350073
Viveros/Derechos Humanos,Álvaro Obregón,STC Metro,1983,-99.17600108606379,19.353459024524685
Miguel Ángel de Quevedo,Coyoacán,STC Metro,1983,-99.18075665564406,19.346251833085887
Copilco,Coyoacán,STC Metro,1983,-99.17697359521604,19.33609927480332
Universidad,Coyoacán,STC Metro,1983,-99.17393845558945,19.324353482894324
Santa Anita,Iztacalco,STC Metro,1982,-99.12169560425865,19.402891572700973
Jamaica,Venustiano Carranza,STC Metro,1982,-99.12174358812516,19.41091506041839
Fray Servando,Venustiano Carranza,STC Metro,1982,-99.12053345294457,19.421590266885172
Candelaria,Venustiano Carranza,STC Metro,1981,-99.11942628579929,19.428764223711585
Morelos,Venustiano Carranza,STC Metro,1981,-99.11815212250657,19.439664164892267
Canal del Norte,Venustiano Carranza,STC Metro,1981,-99.11613305076399,19.448945007975038
Consulado,Gustavo A. Madero,STC Metro,1981,-99.11390384847114,19.45801819921654
Bondojito,Gustavo A. Madero,STC Metro,1981,-99.11197677850316,19.46463120134616
Talismán,Gustavo A. Madero,STC Metro,1981,-99.10801223861532,19.4743583148983
Martín Carrera,Gustavo A. Madero,STC Metro,1981,-99.10436947745445,19.4850441446716
Politécnico,Gustavo A. Madero,STC Metro,1982,-99.14920599260093,19.50067869865116
Instituto del Petróleo,Gustavo A. Madero,STC Metro,1982,-99.14470974913316,19.489339309334294
Autobuses del Norte,Gustavo A. Madero,STC Metro,1982,-99.14065073858234,19.479070895908745
La Raza,Gustavo A. Madero,STC Metro,1982,-99.13651565050566,19.469666470585786
Misterios,Gustavo A. Madero,STC Metro,1982,-99.1302395703195,19.463112195663303
Valle Gómez,Gustavo A. Madero,STC Metro,1982,-99.11949099066608,19.458872139807024
Consulado,Venustiano Carranza,STC Metro,1981,-99.11353623147821,19.455135874992198
Eduardo Molina,Gustavo A. Madero,STC Metro,1981,-99.10529969848143,19.45139751377978
Aragón,Gustavo A. Madero,STC Metro,1981,-99.09620515376837,19.451257588432135
Oceanía,Venustiano Carranza,STC Metro,1981,-99.08687292405605,19.44502048612666
Terminal Aérea,Venustiano Carranza,STC Metro,1981,-99.08807623735903,19.434265101782927
Hangares,Venustiano Carranza,STC Metro,1981,-99.08813377459762,19.42434990786488
Pantitlán,Venustiano Carranza,STC Metro,1981,-99.07432880808665,19.41510477347348
El Rosario,Azcapotzalco,STC Metro,1983,-99.19976981622266,19.504630143602103
Tezozómoc,Azcapotzalco,STC Metro,1983,-99.19602298699967,19.494895164082454
UAM Azcapotzalco,Azcapotzalco,STC Metro,1983,-99.18626730878705,19.49090814292121
Ferrería/Arena Ciudad de México,Azcapotzalco,STC Metro,1983,-99.17415168259645,19.490673429052162
Norte 45,Azcapotzalco,STC Metro,1983,-99.16299035407454,19.488671413505823
Vallejo,Azcapotzalco,STC Metro,1983,-99.15600430946392,19.48984778693472
Instituto del Petróleo,Gustavo A. Madero,STC Metro,1983,-99.14812599880902,19.491044231378503
Lindavista,Gustavo A. Madero,STC Metro,1986,-99.135071417918,19.488112987791897
Deportivo 18 de Marzo,Gustavo A. Madero,STC Metro,1986,-99.12530365865987,19.483482017273065
La Villa/Basílica,Gustavo A. Madero,STC Metro,1986,-99.11836926186176,19.481735808267246
Martín Carrera,Gustavo A. Madero,STC Metro,1986,-99.10747531268115,19.482938821534876
El Rosario,Azcapotzalco,STC Metro,1988,-99.20011586528997,19.50473787443692
Aquiles Serdán,Azcapotzalco,STC Metro,1988,-99.19535232730325,19.49064014278564
Camarones,Azcapotzalco,STC Metro,1988,-99.19003757146507,19.479111542683896
Refinería,Azcapotzalco,STC Metro,1988,-99.1905055272923,19.46947289434234
Tacuba,Miguel Hidalgo,STC Metro,1984,-99.18716900417594,19.45823475875799
San Joaquín,Miguel Hidalgo,STC Metro,1984,-99.19176696408843,19.44500753968244
Polanco,Miguel Hidalgo,STC Metro,1984,-99.1909251080933,19.433553135623136
Auditorio,Miguel Hidalgo,STC Metro,1984,-99.1920289044083,19.42576382554425
Constituyentes,Miguel Hidalgo,STC Metro,1985,-99.19135185542875,19.411770866194253
Tacubaya,Miguel Hidalgo,STC Metro,1985,-99.18675445901168,19.40219021827544
San Pedro de Los Pinos,Benito Juárez,STC Metro,1985,-99.1858059348452,19.39149177284933
San Antonio,Benito Juárez,STC Metro,1985,-99.18661355277949,19.38433767025257
Mixcoac,Benito Juárez,STC Metro,1985,-99.18758241553665,19.37625650166226
Barranca del Muerto,Álvaro Obregón,STC Metro,1985,-99.18926370689458,19.361501563286584
Garibaldi/Lagunilla,Cuauhtémoc,STC Metro,1994,-99.13900441274583,19.444001288500854
Bellas Artes,Cuauhtémoc,STC Metro,1994,-99.14042072784983,19.43701291221674
San Juan de Letrán,Cuauhtémoc,STC Metro,1994,-99.14125061054364,19.431580449036026
Salto del Agua,Cuauhtémoc,STC Metro,1994,-99.14185174647427,19.427718297697947
Doctores,Cuauhtémoc,STC Metro,1994,-99.14318940867469,19.421545611577116
Obrera,Cuauhtémoc,STC Metro,1994,-99.14403796372382,19.413240376209362
Chabacano,Cuauhtémoc,STC Metro,1994,-99.13375133526755,19.410207491075585
La Viga,Cuauhtémoc,STC Metro,1994,-99.1262690624544,19.406709434404345
Santa Anita,Iztacalco,STC Metro,1994,-99.12065723966121,19.404123434315892
Coyuya,Iztacalco,STC Metro,1994,-99.11348043121852,19.398302895714913
Iztacalco,Iztacalco,STC Metro,1994,-99.11211173088554,19.38828875746519
Apatlaco,Iztapalapa,STC Metro,1994,-99.10949014642031,19.3790998138262
Aculco,Iztapalapa,STC Metro,1994,-99.1077035934306,19.37321141061217
Escuadrón 201,Iztapalapa,STC Metro,1994,-99.10948498429173,19.3648364116397
Atlalilco,Iztapalapa,STC Metro,1994,-99.10130942995006,19.35608448367419
Iztapalapa,Iztapalapa,STC Metro,1994,-99.09344907670477,19.3578249372119
Cerro de la Estrella,Iztapalapa,STC Metro,1994,-99.08561607648716,19.356047872500543
UAM-I,Iztapalapa,STC Metro,1994,-99.07481741890497,19.351056166857287
Constitución de 1917,Iztapalapa,STC Metro,1994,-99.06379884994618,19.345968405928243
Pantitlán,Venustiano Carranza,STC Metro,1987,-99.07220534490074,19.415351168915805
Puebla,Venustiano Carranza,STC Metro,1987,-99.08238587967575,19.40719214298364
Ciudad Deportiva,Venustiano Carranza,STC Metro,1987,-99.0912519463776,19.408433982240478
Velódromo,Venustiano Carranza,STC Metro,1987,-99.10315771222376,19.408539286354042
