"","AÑO","ALCALDIA","ML1","score"
"1",1969,"Azcapotzalco",0.0654949849965347,0.478377132410809
"2",1969,"Coyoacán",0.0970605405691883,0.489487356997263
"3",1969,"Gustavo A. Madero",0.114270162230074,0.495544679868081
"4",1969,"Iztacalco",0.198140134240764,0.525064648967107
"5",1969,"Iztapalapa",-0.231288516738048,0.373917340780153
"6",1969,"Tlalpan",-0.166522688847011,0.396713166177263
"7",1969,"Tláhuac",-0.615215935607637,0.238785239628926
"8",1969,"Xochimilco",-0.132885905778901,0.408552407003941
"9",1969,"Benito Juárez",0.211551236429262,0.529784995387849
"10",1969,"Cuauhtémoc",1.54749163472489,1
"11",1969,"Miguel Hidalgo",-0.0157111772543727,0.449794752533637
"12",1969,"Venustiano Carranza",1.52138436121353,0.990810943549416
"13",1969,"Cuajimalpa",-1.29363505241168,0
"14",1969,"Magdalena Contreras",-0.728164022290686,0.199030558081485
"15",1969,"Milpa Alta",-0.571969755475904,0.254006729162473
"16",1970,"Azcapotzalco",-0.102722046904653,0.439325582136433
"17",1970,"Coyoacán",-0.207849197233547,0.471451025735226
"18",1970,"Gustavo A. Madero",-0.0404565920695828,0.420298096361358
"19",1970,"Iztacalco",-0.189426657847975,0.46582134540882
"20",1970,"Iztapalapa",0.350392189328002,0.300859964126606
"21",1970,"Tlalpan",0.168546944960416,0.356429425710632
"22",1970,"Tláhuac",0.768941686574846,0.172956865592687
"23",1970,"Xochimilco",0.212542279408354,0.342985043065469
"24",1970,"Benito Juárez",-0.533328349471575,0.570913078260128
"25",1970,"Cuauhtémoc",-1.9374703712678,1
"26",1970,"Miguel Hidalgo",-0.518962046697362,0.566522929301916
"27",1970,"Venustiano Carranza",-0.744332741298174,0.635393183233162
"28",1970,"Cuajimalpa",1.33492491895144,0
"29",1970,"Magdalena Contreras",0.717293531929842,0.188739847190104
"30",1970,"Milpa Alta",0.721906451637776,0.187330200952768
"31",1971,"Azcapotzalco",-0.102722046904653,0.439325582136433
"32",1971,"Coyoacán",-0.207849197233547,0.471451025735226
"33",1971,"Gustavo A. Madero",-0.0404565920695828,0.420298096361358
"34",1971,"Iztacalco",-0.189426657847975,0.46582134540882
"35",1971,"Iztapalapa",0.350392189328002,0.300859964126606
"36",1971,"Tlalpan",0.168546944960416,0.356429425710632
"37",1971,"Tláhuac",0.768941686574846,0.172956865592687
"38",1971,"Xochimilco",0.212542279408354,0.342985043065469
"39",1971,"Benito Juárez",-0.533328349471575,0.570913078260128
"40",1971,"Cuauhtémoc",-1.9374703712678,1
"41",1971,"Miguel Hidalgo",-0.518962046697362,0.566522929301916
"42",1971,"Venustiano Carranza",-0.744332741298174,0.635393183233162
"43",1971,"Cuajimalpa",1.33492491895144,0
"44",1971,"Magdalena Contreras",0.717293531929842,0.188739847190104
"45",1971,"Milpa Alta",0.721906451637776,0.187330200952768
"46",1972,"Azcapotzalco",0.111156593186335,0.429645956959508
"47",1972,"Coyoacán",0.199855775541144,0.457123483294756
"48",1972,"Gustavo A. Madero",0.0288307620203578,0.404142788453562
"49",1972,"Iztacalco",0.186105219891945,0.452863790646589
"50",1972,"Iztapalapa",-0.402273829783935,0.270593780897163
"51",1972,"Tlalpan",-0.142808405332678,0.35097183900515
"52",1972,"Tláhuac",-0.863932196775093,0.127579723719675
"53",1972,"Xochimilco",-0.250225948417468,0.317695676918635
"54",1972,"Benito Juárez",0.537271727613691,0.561649313892827
"55",1972,"Cuauhtémoc",1.95229529880391,1
"56",1972,"Miguel Hidalgo",0.581986163208233,0.575501099771754
"57",1972,"Venustiano Carranza",0.748891971966074,0.627205733725472
"58",1972,"Cuajimalpa",-1.27576756510195,0
"59",1972,"Magdalena Contreras",-0.599333039940972,0.209548126439678
"60",1972,"Milpa Alta",-0.812052526879595,0.143651179599789
"61",1973,"Azcapotzalco",0.111156593186335,0.429645956959508
"62",1973,"Coyoacán",0.199855775541144,0.457123483294756
"63",1973,"Gustavo A. Madero",0.0288307620203578,0.404142788453562
"64",1973,"Iztacalco",0.186105219891945,0.452863790646589
"65",1973,"Iztapalapa",-0.402273829783935,0.270593780897163
"66",1973,"Tlalpan",-0.142808405332678,0.35097183900515
"67",1973,"Tláhuac",-0.863932196775093,0.127579723719675
"68",1973,"Xochimilco",-0.250225948417468,0.317695676918635
"69",1973,"Benito Juárez",0.537271727613691,0.561649313892827
"70",1973,"Cuauhtémoc",1.95229529880391,1
"71",1973,"Miguel Hidalgo",0.581986163208233,0.575501099771754
"72",1973,"Venustiano Carranza",0.748891971966074,0.627205733725472
"73",1973,"Cuajimalpa",-1.27576756510195,0
"74",1973,"Magdalena Contreras",-0.599333039940972,0.209548126439678
"75",1973,"Milpa Alta",-0.812052526879595,0.143651179599789
"76",1974,"Azcapotzalco",0.111156593186335,0.429645956959508
"77",1974,"Coyoacán",0.199855775541144,0.457123483294756
"78",1974,"Gustavo A. Madero",0.0288307620203578,0.404142788453562
"79",1974,"Iztacalco",0.186105219891945,0.452863790646589
"80",1974,"Iztapalapa",-0.402273829783935,0.270593780897163
"81",1974,"Tlalpan",-0.142808405332678,0.35097183900515
"82",1974,"Tláhuac",-0.863932196775093,0.127579723719675
"83",1974,"Xochimilco",-0.250225948417468,0.317695676918635
"84",1974,"Benito Juárez",0.537271727613691,0.561649313892827
"85",1974,"Cuauhtémoc",1.95229529880391,1
"86",1974,"Miguel Hidalgo",0.581986163208233,0.575501099771754
"87",1974,"Venustiano Carranza",0.748891971966074,0.627205733725472
"88",1974,"Cuajimalpa",-1.27576756510195,0
